Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Philippines,"Philippines - Gingoog Bay, Palawan,  Zamboanga","Department of Geodetic, University of the Philippines",Ayin Tamondong,Existing point data,"Tamondong, A., Cruz, C., Guihawan, J., Garcia, M., Quides, R. R., Cruz, J., & Blanco, A. (2018). Remote sensing-based estimation of seagrass percent cover and LAI for above ground carbon sequestration mapping. https://doi.org/10.1117/12.2324695 "
Philippines,"Philippines -  Cuatro Islas, Tacloban","Philippine Science High School - Eastern Visayas Campus, Department of Science and Technology",Prof. Janeth Morata-Fuentes,Existing point data,"Castillejos, J., Collantes, C. A., Trinchera, H., & Morata-Fuentes, J. (2018). Community Structure of Seagrasses in Cuatro Islas, Philippines. International Proceedings of Chemical, Biological and Environmental Engineering, 103. https://doi.org/10.7763/IPCBEE "
Philippines,Malaysia - Pulau Redang and Pulau Perhentian,"Faculty of Science and Marine Environment and Institute of Oceanography and Environment, Universiti Malaysia Terengganu ","Tan Chun Hong, Nurzahirah Kamarudi, Muhammad Rafiq Hakimi Mohd. Noor",Existing point data,Post Covid-19 Malaysia Marine Life Status At Marine Park Islands of Terengganu
Red Sea,Israel - Gulf of Aqaba,Dead Sea and Arava Science Center,Dr. Gidon Winters,Existing Maps,"Winters, G., Edelist, D., Shem‐Tov, R., Beer, S., & Rilov, G. (2017). A low cost field‐survey method for mapping seagrasses and their potential threats: An example from the northern Gulf of Aqaba, Red Sea. Aquatic Conservation: Marine and Freshwater Ecosystems, 27(2), 324-339. "
Red Sea,Saudi Arabia,NEOM,Giacomo Palavicini,New georeferenced phototransects,Ground truth data collected by NEOM team for the Allen Coral Atlas
Red Sea,Djibouti ,"CORDIO East Africa, Cousteau Society","David Obura, Mishal Gudka",Existing point data,"Cowburn, B., Samoilys, M. A., Osuka, K., Klaus, R., Newman, C., Gudka, M., & Obura, D. (2019). Healthy and diverse coral reefs in Djibouti–A resilient reef system or few anthropogenic threats?. Marine pollution bulletin, 148, 182-193."
Red Sea,"Israel - Northern Gulf of Eilat, Aqaba ",The Interuniversity Institute for Marine Science of Eilat,"The National Monitoring Program (NMP) of the northern Gulf of Eilat/Aqaba, Headed by Dr. Jonathan Shaked and Prof. Amatzia Genin",Existing point data,"Annual reports (in Hebrew with English abstract, figures and tables) by Y. Shaked and A. Genin. Example:  https://iui-eilat.huji.ac.il/uploaded/NMP/reports/NMP%20Report%202019.pdf"
Red Sea,"Israel - Eilat, Northern tip of the Gulf of Aqaba",Israel Nature and Parks Authority,Dr. Assaf Zvuloni,Existing point data – percent cover,Zvuloni et al. (in prep.) The Ecological Camp in the Northern Tip of the Gulf of Aqaba/Eilat - Five Sampling Cycles (2015-2020). The Israel Nature & Parks Authority
Red Sea,"Israel - 
1) Eilat (InterunivInstEilat)
2) Eilat (KZA) ","Viseaon Marine Imaging Lab, Hatter Dept. of Marine Technologies Univ. of Haifa and Inter University Inst. of Marine Sciences of Eilat ","Matan Yuval, Aviad Avni, Tali Treibitz",Photomosaic- 0.5 mm per pixel,"1) Yuval, Matan, et al. ""Repeatable semantic reef-mapping through photogrammetry and label-augmentation."" Remote Sensing 13.4 (2021): 659. 
2) Unpublished"
Red Sea,Egypt,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Red Sea,Israel,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Egypt,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Saudi Arabia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Yemen,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Djibouti ,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Eritrea,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Sudan,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Jordan,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Red Sea,Yemen,Coral Reef Research,"Dr. Lyndon DeVantier, Emre Turak",Existing point data,"Turak, E., Brodie, J., DeVantier, L. (2007) Reef-building corals and coral communities of the Yemen Red Sea. Fauna of Arabia 23: 1-40."
Red Sea,Saudi Arabia,Coral Reef Research,"Dr. Lyndon DeVantier, Emre Turak",Existing point data,"DeVantier, L.M., Turak, E., De’Ath, G., Al-Shaikh, K.A. (2000) Coral communities of the central-northern Saudi Arabian Red Sea. Fauna of Arabia 18: 23-66
DeVantier, L.M., Turak, E., Al-Shaikh, K.A. (2005) Coral bleaching in the central-northern Saudi Arabian Red Sea, August-September 1998. In: Abuzinada, A. (Ed.) Proceedings of the International Workshop on the Extent and Impact of Coral Reef Bleaching in the Arabian Region. National Commission for Wildlife Conservation and Development, Kingdom of Saudi Arabia Publ.
"
Red Sea,Saudi Arabia,The Red Sea Project ,Dr. Ivor Williams,Existing point data,TRSP-KAUST Baseline
Red Sea,Saudi Arabia,"Red Sea Research Center, Division of Biological and Environmental Science and Engineering, King Abdullah University of Science and Technology",Roberts et al. (2016),Published paper or report,"Roberts, M. B., Jones, G. P., McCormick, M. I., Munday, P. L., Neale, S., Thorrold, S., ... & Berumen, M. L. (2016). Homogeneity of coral reef communities across 8 degrees of latitude in the Saudi Arabian Red Sea. Marine Pollution Bulletin, 105(2), 558-565."
Red Sea,Saudi Arabia - Red Sea,"KAUST, University of Hawaii","Greta Aeby, Christian Voolstra, Amanda Shore, Thor Jensen",Existing point data,"These data were kindly contributed by Greta Aeby, Christian Voolstra, Amanda Shore and Thor Jensen"
Red Sea,Egypt,"Zoology Department, Faculty of Science, Al-Azhar University","H Abo Elenin, A. et al. (2020)",Published paper or report,"H Abo Elenin, A., A Saber, S., B El-Kafrawy, S., & A El-Naggar, H. (2020). An Integrated Field Survey and Remote Sensing Approach for Marine Habitat Mapping Along Hurghada Coast, Red Sea, Egypt. Egyptian Journal of Aquatic Biology and Fisheries, 24(7-Special issue), 287-306."
Red Sea,Saudi Arabia,"Laboratory of Harbor Works, Department of Water Resources and Environmental Engineering, School of Civil Engineering, National Technical University of Athens","Chalastani, V. I. et al. (2020)",Published paper or report,"Chalastani, V. I., Manetos, P., Al-Suwailem, A. M., Hale, J. A., Vijayan, A. P., Pagano, J., ... & Duarte, C. M. (2020). Reconciling Tourism Development and Conservation Outcomes Through Marine Spatial Planning for a Saudi Giga-Project in the Red Sea (The Red Sea Project, Vision 2030). Frontiers in Marine Science, 7, 168."
Red Sea,"Saudi Arabia- Al Wajh Bank, Ras Al Qasabah, Yanabu, Farasan Banks,  Farasan Islands",Khaled bin Sultan Living Oceans Foundation,Dr. Sam Purkis,Existing maps,"Bruckner, A., G. Rowlands, B. Riegl, S. Purkis, A. Williams, and P. Renaud (2012) Khaled bin Sultan Living Oceans Foundation Atlas of Saudi Arabian Red Sea Marine Habitats. Panoramic Press, pp. 262.
We owe a debt of gratitude to the host nations of the Khaled bin Sultan Living Oceans Global Reef Expedition who not only permitted our team to work in their countries, but also provided both logistical and scientific support. We are similarly indebted to the crew of the M/Y Golden Shadow, through the generosity of HRH Prince Khaled bin Sultan, for their inexhaustible help in the field. The project would have been impossible without the 200 scientists who participated in the Global Reef Expedition."
South China Sea,South China Sea - Swallow Reef ,"Arizona State University (ASU) Center for Global Discovery and Conservation Science, Hawaii",Asner et al. ,Published paper or report,"Asner, G. P., Martin, R. E., Mascaro, J., Williams, R., & Boyd, D. (2017). Coral reef atoll assessment in the South China Sea using Planet Dove satellites. Remote Sensing in Ecology and Conservation, 3(2), 57-65. https://doi.org/10.1002/rse2.42"
South China Sea,South China Sea - Xiasha Islands,"National Ocean Technology Center, SOA, Tianjin in China",Tian et al.,Published paper or report,"Tian, Z., Zhu, J., & Han, B. (2020). Research on coral reefs monitoring using WorldView-2 image in the Xiasha Islands (Vol. 11427). SPIE. https://doi.org/10.1117/12.2553067 
"
South China Sea,South China Sea - Spratly Islands and Dongsha (Pratas) Atoll,"Samara State University of Social Science and Education/Vietnam-Russian Tropical Scientific Research and Technological Center/Dongsha Atoll Research Station (Sun Yat-sen University, Taiwan, R.O.C.)",Konstantin S. Tkachenko,Existing point data,"Tkachenko, K. S., Hoang, D. T., & Dang, H. N. (2020). Ecological status of coral reefs in the Spratly Islands, South China Sea (East sea) and its relation to thermal anomalies. Estuarine, Coastal and Shelf Science, 238. https://doi.org/10.1016/j.ecss.2020.106722 
 
Tkachenko, K. S., & Soong, K. (2017). Dongsha Atoll: A potential thermal refuge for reef-building corals in the South China Sea. Mar Environ Res, 127, 112-125. https://doi.org/10.1016/j.marenvres.2017.04.003"
South China Sea,Cambodia,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
South China Sea,Sri Lanka,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Southeast Asian Archipelago,"Indonesia - Simeulue Island, Aceh Province","Research Institute For Coastal Resources and Vulnerability, Ministry of Marine Affairs and Fisheries",Ulung Jantama Wisha,Existing point data,"Wisha, U., Ondara, K., Gemilang, W., Rahmawan, G., Dhiauddin, R., & Ilham, I. (2019). Coral Reef condition in relation to coral reef fish abundances before mass bleaching event in Simeulue Islands, ACEH. Indonesian Fisheries Research Journal, 25, 64. doi:10.15578/ifrj.25.2.2019.64-74"
Southeast Asian Archipelago,Timor Leste,Seagrass-Watch,House et al,Existing point data,"House, Jennifer E; Magno, Xisto; Monteiro, Jose; Lopes, Julio; de Araujo, Simão; Mendes, R; Gomes, Jemima; Joaquim, Dina; Piludu, Nicola; McKenzie, Len J (2020): Seagrass community data derived from field surveys at Atauro Island and north coast Timor-Leste, conducted April 2017 to June 2018. PANGAEA, https://doi.org/10.1594/PANGAEA.912824"
Southeast Asian Archipelago,Australia - Cocos (Keeling) Islands,"School of Earth and Environmental Sciences, University of Wollongong, New South Wales, Australia",Dr. Sarah Hamylton,Existing Maps,"Hamylton, S. M., & Mallela, J. (2019). Reef development on a remote coral atoll before and after coral bleaching: A geospatial assessment. Marine Geology, 418, 106041. https://doi.org/https://doi.org/10.1016/j.margeo.2019.106041 
"
Southeast Asian Archipelago,Singapore,"National University of Singapore and Department of Biosciences, Swansea University, Swansea, UK",Dr. Andrew G. Bauman,Existing point data,"Bauman, A.G. Benthic transect data, reefs of Singapore"
Southeast Asian Archipelago,Indonesia,Fauna and Flora International,"Andy Cameron, Indra, Rakhmat Dirgantara, Henry Duffy",Existing point data,These data were contributed by Fauna & Flora International.
Southeast Asian Archipelago,Indonesia,Institute for Marine Remote Sensing - University of South Florida and Sinoptica Information Systems Ltd.,Damaris Torres-Pulliza,Existing Maps,"Torres-Pulliza, D., Wilson, J. R., Darmawan, A., Campbell, S. J., & Andréfouët, S. (2013). Ecoregional scale seagrass mapping: A tool to support resilient MPA network design in the Coral Triangle. Ocean & Coastal Management, 80, 55-64. https://doi.org/10.1016/j.ocecoaman.2013.04.005"
Southeast Asian Archipelago,Malaysia,Heriot-Watt University,Oscar Crehan,Existing point data,"Crehan, O., Mair, J., Yii, S. H., Mohd Safuan, C. D., & Bachok, Z. (2019). Effect of Tourism and Sedimentation on Coral Cover and Community Structure. Tropical Life Sciences Research, 30(2), 149-165. https://doi.org/10.21315/tlsr2019.30.2.11 "
Southeast Asian Archipelago,Indonesia,Biosphere Foundation,"Kitty Currier, Phillip Dustan",Existing point data,"Suparno, N., K. Currier, C. Milner, A. Alling, and P. Dustan. 2019. Ecological changes in the coral reef communities of Indonesia’s Bali Barat National Park, 2011–2016. Atoll Research Bulletin 620."
Southeast Asian Archipelago,Timor Leste,"Global Change Institute, University of Queensland",Dr. Catherine Kim,Existing point data,"Kim, C.J.S. (2020) Drivers of benthic composition, cryptic marine biodiversity, and coral health in Timor-Leste [Doctoral thesis]. The University of Queensland.  With thanks to the Timor-Leste Ministry of Agriculture and Fisheries.
Kim, C. J., Roelfsema, C. M., Dove, S., & Hoegh-Guldberg, O. (2020). The condition of coral reefs in Timor-Leste before and after the 2016-2017 marine heatwave. bioRxiv."
Southeast Asian Archipelago,Timor Leste,National Oceanic and Atmospheric Administration - Coral Reef Ecosystem Program (NOAA-CREP)  ,National Oceanic and Atmospheric Administration - Coral Reef Ecosystem Program (NOAA-CREP)  ,Existing point data and maps,"Pacific Islands Fisheries Science Center - PIFSC. (2017). Interdisciplinary baseline ecosystem assessment surveys to inform ecosystem-based management planning in Timor-Leste: Final Report. NOAA Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-17-02, 234p. doi: 10.7289/V5/SP-PIFSC-17-002
https://www.coris.noaa.gov/activities/projects/timor-leste/tl_data2.html"
Southeast Asian Archipelago,Coral Triangle,"Faculty of Biological Sciences, School of Biology, University of Leeds, Leeds, UK",Maria Beger,Existing Maps,"Vercammen, A., McGowan, J., Knight, A. T., Pardede, S., Muttaqin, E., Harris, J., Ahmadia, G., Estradivari, Dallison, T., Selig, E., & Beger, M. (2019). Evaluating the impact of accounting for coral cover in large-scale marine conservation prioritizations. Diversity and Distributions, 25(10), 1564-1574. https://doi.org/10.1111/ddi.12957 "
Southeast Asian Archipelago,Indonesia,Lembaga Ilmu Pengetahuan Indonesia (LIPI),LIPI,Existing point data,LIPI; National Datacentre for Coastal Ecosystem: http://gis.oseanografi.lipi.go.id/
Southeast Asian Archipelago,Indonesia,"Department of Marine Science, Faculty of Fisheries and Marine Science, Universitas Padjadjaran, Indonesia",Tries Razak et al.,New georeferenced phototransects,"Razak TB, Ramadhani BA, Corni S, Roelfsema C, Markey K, Bambic B, De Brauwer M, Masdar H, Purnama R, Dumbrell AJ, Jompa J, Limmon GV, Beger M, Fox HE. In review. Large scale study of benthic communities in Eastern Indonesia’s reef systems. Regional Studies in Marine Science"
Southeast Asian Archipelago,Indonesia,"Department of Marine Science, Faculty of Fisheries and Marine Science, Universitas Padjadjaran, Indonesia","Tries Razak, Haifa Herfauzia Jasmin",Existing point data,Data collated in 2020 from numerous published reports of Indonesian reefs for the study of reef change over time by Tries Razak and Haifa Herfauzia Jasmin. Full list of references here: https://storage.googleapis.com/coral-atlas-static-files/references/Citations%20For%20data%20collated%20by%20Tries%20and%20Haifa%20Final.pdf
Southeast Asian Archipelago,"Indonesia - Gili Air, Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar ",Gili Shark Conservation,Gili Shark Conservation,Existing point data,Dataset sourced from Gili Shark Conservation [see: https://www.gilisharkconservation.com/wp-content/uploads/2019/06/Gili-Shark-Conservation-Project-Coral-Health-Index-Report.pdf]
Southeast Asian Archipelago,Indonesia,"Christian-Albrechts-Universität zu Kiel, Germany","Wiethüchter, Anita",Existing point data,"Wiethüchter, Anita; Schnack-Schiel, Sigrid B; Asmus, Harald (2009): Seagrass biomass per area from Island Bone Batang, Spermonde Archipelago, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.727003"
Southeast Asian Archipelago,"Indonesia - Gili Trawangan, Air, and Meno","Geography Department, University of Indonesia",Dr Masita Dwi Mandini Manessa,Existing point data,"Manessa, M. D. M., Kanno, A., Sekine, M., Ampou, E. E., Widagti, N., & As-syakur, A. R. (2014). Shallow-Water Benthic Identification Using Multispectral Satellite Imagery: Investigation on the Effects of Improving Noise Correction Method and Spectral Cover. Remote Sensing, 6(5), 4454-4472. https://doi.org/10.3390/rs6054454"
Southeast Asian Archipelago,Indonesia - Seribu and Wakatobi Island,"Division of Marine Remote Sensing and GIS, Department of Marine Science and Technology, IPB University, Indonesia","Vincentius P Siregar, Syamsul B Agus",Existing point data,"Siregar, V. P., Prabowo, N. W., Agus, S. B., & Subarno, T. (2018). The effect of atmospheric correction on object based image classification using SPOT-7 imagery: A case study in the Harapan and Kelapa Islands. In (Vol. 176): Institute of Physics Publishing. http://doi.org/10.1088/1755-1315/176/1/012028
 
 Prabowo, N. W., Siregar, V. P., & Agus, S. B. (2018). Classification of benthic habitat based on object with support vector machine and decision tree algoritm using SPOT – 7 multispectral imagery in Harapan and Kelapa Island. Jurnal Ilmu dan Teknologi Kelautan Tropis, 10(1), 123-134. https://doi.org/10.29244/jitkt.v10i1.21670
 
 Siregar, V. P., Agus, S. B., Sunuddin, A., Pasaribu, R. A., Sangadji, M. S., Kurniawati, E. (2020). Benthic habitat classification on multispatial satellite imagery in Kapota and Kompoone Islands, Wakatobi. Jurnal Ilmu dan Teknologi Kelautan Tropis, (In Review)
 
 Siregar, V. P., Agus, S. B., Subarno, T., Sunuddin, A., & Aziizah, N. N. (2020). Analysis of benthic habitat change by using high resolution satellite imagery in Karang Lebar, Kepulauan Seribu. Jurnal Ilmu dan Teknologi Kelautan Tropis, 12(1), 37-51. https://doi.org/10.29244/jitkt.v12i1.25528
 
 Siregar, V. P., Agus, S. B., Sunuddin, A., Pasaribu, R. A., Sangadji, M. S., Sugara, A., & Kurniawati, E. (2020). Benthic habitat classification using high resolution satellite imagery in Sebaru Besar Island, Kepulauan Seribu. IOP Conference Series: Earth and Environmental Science, 429, 012040. https://doi.org/10.1088/1755-1315/429/1/012040
 
 Sugara, A., Siregar, V. P., & Agus, S. B. (2020). Benthic habitat classification of shallow water using WorldView-2 imagery with in-situ and drone data. Jurnal Ilmu dan Teknologi Kelautan Tropis, 12(1), 135-150. https://doi.org/10.29244/jitkt.v12i1.26448"
Southeast Asian Archipelago,Indonesia,World Wide Fund for Naure (WWF) Indonesia,Muhammed Erdi Lauzardi,Existing point data,These data were collected by WWF-Indonesia
Southeast Asian Archipelago,Indonesia - Spermonde Archipelago,"Marine Science Department, Hasanuddin University, Indonesia",Dr. Nurjannah Nurdin,Existing point data,"Nurdin, N., Amri, K., Pulubuhu, D. A. T., Rani, C., AS, M. A., & Komatsu, T. (2019). Long-term Changes Of Coral Reef Habitats In Two Islands With And Without Residents In Outer Spermonde Archipelago, South Sulawesi Revealed By Satellite Remote Sensing. Philippine Journal of Natural Sciences(24), 91-103. "
Southeast Asian Archipelago,"Indonesia - Pulau Nukaha, Tanimbar","Flemish Institute for Technological Research, Remote Sensing and Earth Observation Processes, Belgium","Luc Bertels, Bart Deronde and Joost Vandenabeele",Existing Maps,"Bertels, L., Vanderstraete, T., Van Coillie, S., Knaeps, E., Sterckx, S., Goossens, R., & Deronde, B. (2008). Mapping of coral reefs using hyperspectral CASI data; a case study: Fordata, Tanimbar, Indonesia. International Journal of Remote Sensing, 29(8), 2359-2391. https://doi.org/10.1080/01431160701408469
 
 The authors wish to thank the Belgian Science Policy Office (BelSPO) for providing funding under the STEREO projects UN/67/013 and UN/02/014."
Southeast Asian Archipelago,"Indonesia - Sebaru, Karang Lebar and Lancang","Division of Marine Remote Sensing and GIS, Department of Marine Science and Technology, IPB University, Indonesia","Vincentius P Siregar, Ayub Sugara, Esty Kurniaty",Existing point data,"Sugara, A., Siregar, V. P., & Agus, S. B. (2020). Benthic habitat classification of shallow water using WorldView-2 imagery with in-situ and drone data. Jurnal Ilmu dan Teknologi Kelautan Tropis, 12(1), 135-150. https://doi.org/10.29244/jitkt.v12i1.26448
 
Object-Based Classification of Shallow Benthic Habitats and Analysis of Oceanographic Characteristics Using Multi-Resolution Satellite Imagery in the Waters of the Seribu Islands (On Review at Jurnal Ilmu dan Teknologi Kelautan Tropis)
 
 Evaluation of Accuracy Level of Shallow Waters Benthic Habitat Mapping In Different Classes Using High Resolution Imagery Case Study on Sebaru Besar Island, Kepuluan Seribu (On Review at Majalah Ilmiah Globe Journal - Geospatial Information Agency)
 
 Sugara, A., Siregar, V. P., & Agub, S. B. (2019). Shallow water benthic classification on Worldview-2 and Sentinel 2A imagery using in-situ and drone data [Master thesis, IPB University]. IPB University. http://repository.ipb.ac.id/handle/123456789/100700
 
 Kurniawati, E., Siregar, V. P., & Nurjaya, I. W. Object-based classification of shallow benthic habitats and analysis of oceanographic characteristics using multi-resolution satellite imagery in the waters of the Seribu Islands [Master thesis, IPB University]. IPB University. http://repository.ipb.ac.id/handle/123456789/100730"
Southeast Asian Archipelago,Indonesia,Geospatial Information Agency of Indonesia,Doddy Mendro Yuwono,Existing point data,"Ramadhani et al., 2019, Kepulauan Maluku, Cibinong, Badan Informasi Geospasial"
Southeast Asian Archipelago,Indonesia,Reef Check Foundation Indonesia,Sila Kartika Sari and Derta Prabuning,Existing point data,Reef Check Foundation Indonesia. Reef check monitoring data.
Southeast Asian Archipelago,"Indonesia - Situbondo, East Java","Marine Science Department, Brawijaya University",Mochamad Arif Zainul Fuad,Existing point data,"M. Arif Zainul Fuad, Anwar Fikri, M. Fadhilah (2019). Mapping and Monitoring of Coral reef Ecosystem in Pasir Putih, Situbondo - East Java, Indonesia. Scientific Report - Faculty of Fisheries and Marine Science, Brawijaya University."
Southeast Asian Archipelago,Indonesia,Coral Sea Foundation,Andy Lewis,Existing point data,Coral Sea Foundation Image Library
Southeast Asian Archipelago,Indonesia,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Southeast Asian Archipelago,Indonesia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeast Asian Archipelago,"Indonesia - Togean and Banggai Islands, Sulawesi",Conservation International Center for Applied Biodiversity Science Department of Conservation Biology,Allen and  McKenna (2001),Published paper or report,"Allen, G. R. & McKenna, S. A. (2001). A marine rapid assessment of the Togean and Banggai Islands, Sulawesi, Indonesia. RAP Bulletin of Biological Assessment 20. Conservation International. Washington, DC."
Southeast Asian Archipelago,"Indonesia - Raja Ampat, West Papua Province",Conservation International Center for Applied Biodiversity Science Department of Conservation Biology,McKenna et al. (2002),Published paper or report,"McKenna, S. A., Allen, G. R. & Suryadi, S. (2002). A marine rapid assessment of the Raja Ampat islands, Papua Province, Indonesia. RAP Bulletin of Biological Assessment 22. Conservation International. Washington, DC."
Southeast Asian Archipelago,"Indonesia - Komodo, East Nusa Tenggara Province",The Nature Conservancy Indonesia,Turak (2006),Published paper or report,"Turak, E. (2006) Corals and Coral Communities of the Komodo National Park. In: Beger, M. & Turak, E. (2006) A Rapid Ecological Assessment of the reef fishes and scleractinian corals of Komodo National Park, Indonesia in 2005. The Nature Conservancy."
Southeast Asian Archipelago,"Indonesia - Wakatobi, SouthEast Sulawesi Province",World Wide Fund for Naure and The Nature Conservancy,Pet-Soede and Erdmann (2003),Published paper or report,"Pet-Soede, L. & M. Erdmann M. (2003). Rapid Ecological Assessment of Wakatobi National Park. November 2003. A Joint Publication by the Directorate General of Forest Protection and Nature Conservation, Ministry of Forestry, Jakarta, WWF Indonesia Marine Program, Denpasar, Bali and The Nature Conservancy, Southeast Asia Center for Marine Protected Areas, Bali."
Southeast Asian Archipelago,Indonesia - Bali and Nusa Penida,Conservation International Indonesia,Mustika et al. (2012),Published paper or report,"Mustika, P. L., Ratha, I. M. J. & Purwanto, S. (2012). The 2011 Bali Marine Rapid Assessment (Second English edition August 2012). RAP Bulletin of Biological Assessment 64. Bali Marine and Fisheries Affairs, South East Asia Center for Ocean Research and Monitoring, Warmadewa University, Conservation International Indonesia, Denpasar. 137 pp."
Southeast Asian Archipelago,"Indonesia - Raja Ampat Islands, Papua",The Nature Conservancy Indonesia,Donnelly et al. (2003),Published paper or report,"Donnelly, R., Neville, D. & Mous, P. J. (2003). Report on a rapid ecological assessment of the Raja Ampat Islands, Papua, Eastern Indonesia, held October 30 – November 22, 2002. The Nature Conservancy - Southeast Asia Center for Marine Protected Areas, Bali, Indonesia"
Southeast Asian Archipelago,"Indonesia - Central-northern Halmahera, Morotai and North Maluku Province",Conservation International,Turak and DeVantier (2008),Published paper or report,"Turak, E. & DeVantier, L. (2008). Biodiversity and Conservation Priorities of Reef-building Corals in North Halmahera-Morotai. Final Report. Conservation International. Indonesia. 68p."
Southeast Asian Archipelago,"Indonesia - Mentawai Islands, West Sumatra","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Siringoringo (2014),Published paper or report,"Siringoringo, R. M. (2014). Monitoring Kesehatan Terumbu Karang Dan Kesehatan Ekosistem Terkait Di Kabupaten Kepulauan Mentawai. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia"
Southeast Asian Archipelago,"Indonesia - Bintan Island, Riau Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Manuputty (2014),Published paper or report,"Manuputty, A. E. W. (2014). Monitoring Kesehatan Terumbu Karang dan Kesehatan Ekosistem Terkait di Kabupaten Bintan. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - Lingga Islands, Riau Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Sihaloho (2014),Published paper or report,"Sihaloho, H. F. (2014). Monitoring Kesehatan Terumbu Karang dan Kesehatan Ekosistem Terkait di Kabupaten Lingga. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
